year,state,forest_cover_percentage,deforestation_rate
2006,Kedah,57.749055198274405,0.7242166577185862
2007,Kedah,57.180860843865275,0.5681943544091272
2008,Kedah,56.25428798670291,0.9265728571623694
2009,Kedah,55.49518957497843,0.7590984117244719
2010,Kedah,54.21349524631036,1.281694328668074
2011,Kedah,53.43674582653472,0.776749419775643
2012,Kedah,52.549362409866916,0.8873834166678048
2013,Kedah,51.86937833780036,0.6799840720665443
2014,Kedah,50.427774281430615,1.441604056369755
2015,Kedah,49.159003012228574,1.2687712692020379
2016,Kedah,47.78043827032729,1.3785647419012867
2017,Kedah,46.28483053456288,1.4956077357644095
2018,Kedah,45.04411176029931,1.2407187742635695
2019,Kedah,44.04851085379397,0.995600906505342
2020,Kedah,43.33196397933571,0.7165468744582559
2021,Kedah,42.74212612695908,0.5898378523766348
2022,Kedah,42.29528245290175,0.44684367405732583
2023,Kedah,41.735493340421755,0.5597891124799982
2001,Kelantan,99.28284667312096,0.7171533268790415
2002,Kelantan,98.67189177936896,0.6109548937520032
2003,Kelantan,98.29963554178053,0.37225623758842985
2004,Kelantan,97.37808162145909,0.9215539203214369
2005,Kelantan,96.54230590039023,0.8357757210688571
2006,Kelantan,95.78411385106446,0.7581920493257688
2007,Kelantan,94.11461104080412,1.6695028102603415
2008,Kelantan,93.26859216034839,0.8460188804557215
2009,Kelantan,91.07014581633024,2.1984463440181603
2010,Kelantan,89.04021596545081,2.029929850879425
2011,Kelantan,87.52693785706496,1.5132781083858433
2012,Kelantan,85.18264214035773,2.344295716707254
2013,Kelantan,84.05060781586103,1.1320343244966808
2014,Kelantan,81.37502849911282,2.6755793167482262
2015,Kelantan,79.6811403610218,1.6938881380910056
2016,Kelantan,77.80948384389426,1.8716565171275537
2017,Kelantan,76.41092912064128,1.398554723252963
2018,Kelantan,74.82119078379995,1.5897383368413402
2019,Kelantan,72.9649981331016,1.8561926506983522
2020,Kelantan,71.8807431907772,1.0842549423244041
2021,Kelantan,70.60675850264835,1.273984688128839
2022,Kelantan,69.4457129073721,1.1610455952762513
2023,Kelantan,67.8413037228928,1.6044091844793007
2001,Kelantan,89.2437574552027,0.7040024319242931
2002,Kelantan,88.63789109869448,0.6058663565082061
2003,Kelantan,88.26774957788271,0.37014152081178686
2004,Kelantan,87.35201112869704,0.9157384491856688
2005,Kelantan,86.52099352037563,0.8310176083214105
2006,Kelantan,85.76564312171847,0.7553503986571549
2007,Kelantan,84.10169144299682,1.663951678721654
2008,Kelantan,83.2581177038141,0.8435737391827282
2009,Kelantan,81.06667635911856,2.1914413446955305
2010,Kelantan,79.04117419649023,2.025502162628329
2011,Kelantan,77.52954821058614,1.511625985904091
2012,Kelantan,75.20025376601319,2.329294444572943
2013,Kelantan,74.09875066497929,1.1015031010338983
2014,Kelantan,71.52467775350993,2.5740729114693646
2015,Kelantan,69.90024484455179,1.6244329089581386
2016,Kelantan,68.09321935891039,1.8070254856414034
2017,Kelantan,66.72453501012751,1.3686843487828815
2018,Kelantan,65.16598874574166,1.5585462643858565
2019,Kelantan,63.37297325874551,1.7930154869961439
2020,Kelantan,62.32493284122111,1.0480404175243936
2021,Kelantan,61.0931103188266,1.2318225223945203
2022,Kelantan,59.97032788022773,1.1227824385988678
2023,Kelantan,58.473637081558685,1.49669079866905
2001,Kelantan,88.87315334009602,0.7018877151476502
2002,Kelantan,88.26827825707687,0.6048750830191547
2003,Kelantan,87.89866541545925,0.3696128416176262
2004,Kelantan,86.9841825793597,0.9144828360995372
2005,Kelantan,86.15422232942662,0.829960249933089
2006,Kelantan,85.39933452506435,0.7548878043622642
2007,Kelantan,83.7362419500332,1.6630925750311425
2008,Kelantan,82.8930647202461,0.8431772297871075
2009,Kelantan,80.702218139644,2.1908465806020994
2010,Kelantan,78.67737682600837,2.0248413136356276
2011,Kelantan,77.16601517970136,1.5113616463070105
2012,Kelantan,74.83804243311381,2.327972746587541
2013,Kelantan,73.73812536966241,1.0999170634514162
2014,Kelantan,71.16894274073903,2.569182628923378
2015,Kelantan,69.54761582204658,1.621326918692444
2016,Kelantan,67.7440928360665,1.8035229859800888
2017,Kelantan,66.37778754365733,1.366305292409158
2018,Kelantan,64.82188467524227,1.5559028684150529
2019,Kelantan,63.03263602750454,1.7892486477377487
2020,Kelantan,61.98710683615241,1.04552919135213
2021,Kelantan,60.75792770972869,1.2291791264237164
2022,Kelantan,59.63732607280573,1.120601636922955
2023,Kelantan,58.14559164158194,1.4917344312237932
2001,Kelantan,88.63108435406969,0.7001034228673577
2002,Kelantan,88.02706837474102,0.6040159793286436
2003,Kelantan,87.6579181274183,0.3691502473227355
2004,Kelantan,86.74422831010999,0.913689817308296
2005,Kelantan,85.91532541856523,0.8289028915447676
2006,Kelantan,85.16096629339712,0.7543591251681036
2007,Kelantan,83.4989310767543,1.662035216642821
2008,Kelantan,82.65601818656428,0.8429128901900271
2009,Kelantan,80.4662289643505,2.189789222213778
2010,Kelantan,78.44204849970757,2.0241804646429267
2011,Kelantan,76.93095119299764,1.5110973067099303
2012,Kelantan,74.60403580479843,2.3269153881992195
2013,Kelantan,73.50544043933242,1.098595365466014
2014,Kelantan,70.9400907345667,2.565349704765713
2015,Kelantan,69.3213411269458,1.6187496076209105
2016,Kelantan,67.52039545203723,1.800945674908555
2017,Kelantan,66.1558083670091,1.3645870850281356
2018,Kelantan,64.60135936637799,1.5544490006311107
2019,Kelantan,62.814688029711775,1.786671336666215
2020,Kelantan,61.770810960841395,1.0438770688703778
2021,Kelantan,60.543746551194324,1.2270644096470738
2022,Kelantan,59.42479703675312,1.1189495144412027
2023,Kelantan,57.93749029378043,1.487306742972697
2001,Kelantan,88.47915517064773,0.6991782342775764
2002,Kelantan,87.87560178561398,0.6035533850337529
2003,Kelantan,87.50671587788833,0.36888590772565516
2004,Kelantan,86.59348865487492,0.9132272230134053
2005,Kelantan,85.76498227272577,0.8285063821491471
2006,Kelantan,85.01075531735621,0.7542269553695633
2007,Kelantan,83.34911661010901,1.6616387072472003
2008,Kelantan,82.50646805951605,0.8426485505929467
2009,Kelantan,80.31694317689936,2.189524882616698
2010,Kelantan,78.29315922165205,2.023783955247306
2011,Kelantan,76.78212799984139,1.51103122181066
2012,Kelantan,74.45567520593707,2.3264527939043287
2013,Kelantan,73.35767460456448,1.0980006013725834
2014,Kelantan,70.79450570147469,2.5631689030897995
2015,Kelantan,69.17707779183918,1.6174279096355086
2016,Kelantan,67.37765206961383,1.7994257222253431
2017,Kelantan,66.01385800337694,1.3637940662368946
2018,Kelantan,64.4603341913356,1.5535238120413295
2019,Kelantan,62.674918467755525,1.7854157235800834
2020,Kelantan,61.631900502575654,1.0430179651798666
2021,Kelantan,60.405893451316906,1.226007051258752
2022,Kelantan,59.28780304056621,1.1180904107506913
2023,Kelantan,57.80228058987381,1.4855224506924045
2001,Kelantan,88.12540270485492,0.6976582815943643
2002,Kelantan,87.52270842351169,0.6026942813432417
2003,Kelantan,87.15415294028239,0.36855548322930465
2004,Kelantan,86.24191699075803,0.9122359495243539
2005,Kelantan,85.41387320290377,0.8280437878542564
2006,Kelantan,84.66004275692983,0.7538304459739427
2007,Kelantan,82.99899881377605,1.6610439431537696
2008,Kelantan,82.15654851788092,0.8424502958951365
2009,Kelantan,79.96761839935765,2.188930118523267
2010,Kelantan,77.9443631233045,2.0232552760531455
2011,Kelantan,76.4336623259902,1.5107007973143098
2012,Kelantan,74.10813472067565,2.3255276053145475
2013,Kelantan,73.01152190218774,1.0966128184879114
2014,Kelantan,70.45311111184539,2.5584107903423527
2015,Kelantan,68.83958221126682,1.6135289005785733
2016,Kelantan,67.04379115850134,1.795791052765488
2017,Kelantan,65.68224397883962,1.3615471796617116
2018,Kelantan,64.13103313827274,1.5512108405668763
2019,Kelantan,62.34991293314521,1.7811202051275274
2020,Kelantan,61.3092079394398,1.0407049937054134
2021,Kelantan,60.08584428415185,1.2233636552879483
2022,Kelantan,58.97006684487561,1.1157774392762383
2023,Kelantan,57.48936859182992,1.4806982530456878
2001,Kelantan,86.9028981532575,0.6871507826104196
2002,Kelantan,86.30701061653907,0.5958875367184221
2003,Kelantan,85.94175937827326,0.3652512382658001
2004,Kelantan,85.0370571072657,0.9047022710075634
2005,Kelantan,84.21588614893554,0.8211709583301668
2006,Kelantan,83.46595471201853,0.7499314369170073
2007,Kelantan,81.81363397556841,1.6523207364501173
2008,Kelantan,80.97448792463679,0.8391460509316319
2009,Kelantan,78.7935540789252,2.1809338457115857
2010,Kelantan,76.77670903810126,2.0168450408239464
2011,Kelantan,75.26832121226138,1.5083878258398564
2012,Kelantan,72.94960035157166,2.318720860689728
2013,Kelantan,71.85979427770857,1.089806073863092
2014,Kelantan,69.32259674003191,2.5371975376766533
2015,Kelantan,67.72360651729277,1.598990222739153
2016,Kelantan,65.94301499135939,1.7805915259333667
2017,Kelantan,64.58999276370353,1.3530222276558697
2018,Kelantan,63.04823206373228,1.541760699971253
2019,Kelantan,61.28171662134344,1.7665154423888367
2020,Kelantan,60.250527853132915,1.03118876821052
2021,Kelantan,59.03826646092235,1.212261392210573
2022,Kelantan,57.93055137935706,1.107715081565287
2023,Kelantan,56.4676960491143,1.462855330242763
2001,Kelantan,82.37839552473062,0.6381818722512813
2002,Kelantan,81.81707039033046,0.561325134400164
2003,Kelantan,81.4707194332559,0.34635095707455366
2004,Kelantan,80.60910451657244,0.8616149166834632
2005,Kelantan,79.82844360149484,0.7806609150776002
2006,Kelantan,79.10917555783915,0.7192680436556844
2007,Kelantan,77.52650830521972,1.58266725261944
2008,Kelantan,76.71657177976546,0.8099365254542511
2009,Kelantan,74.60641486117214,2.110156918593317
2010,Kelantan,72.64448637164165,1.9619284895304998
2011,Kelantan,71.15803873235946,1.4864476392821857
2012,Kelantan,68.88451994277047,2.273518789588985
2013,Kelantan,67.84711919402856,1.0374007487419088
2014,Kelantan,65.43607772905851,2.411041464970047
2015,Kelantan,63.93297669516027,1.5031010338982491
2016,Kelantan,62.259707045641534,1.673269649518737
2017,Kelantan,60.96153528437984,1.298171761261693
2018,Kelantan,59.47825972026261,1.4832755641172213
2019,Kelantan,57.79547384524899,1.6827858750136302
2020,Kelantan,56.820787665914395,0.9746861793345912
2021,Kelantan,55.66919221123378,1.1515954546806282
2022,Kelantan,54.61196599271083,1.0572262185229364
2023,Kelantan,53.22781777749876,1.384148215212083
2001,Kuala Lumpur,99.85660710346349,0.14339289653651005
2002,Kuala Lumpur,99.38966100448562,0.46694609897786604
2003,Kuala Lumpur,99.20214721670712,0.18751378777851313
2004,Kuala Lumpur,98.49621295683507,0.7059342598720494
2005,Kuala Lumpur,98.16898301345687,0.32722994337818956
